S.no,Date & Time,Machine Name,Operator No,Operator Name,Comp. Drawing No,Comp. Description,Comp. Serial No,Program No,Revision No,Actual Part Count,Run Time,Idle Time,Disconnect Time,Alarm Time,Component Status,Operation Sequence,Planned Touch Time,Start Time,End Time,Actual Run Time,Operation Status,Alarm,Message
,,,,,,,,,,,,,,,,N4,-,05-07-2026 14:16:17,05-07-2026 14:16:53,36,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:16:53,05-07-2026 14:22:58,53,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:22:58,05-07-2026 14:23:56,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:23:56,05-07-2026 14:26:04,73,Rework-7,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 14:26:04,05-07-2026 14:27:00,56,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:27:00,05-07-2026 14:32:53,54,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:32:53,05-07-2026 14:36:39,105,Rework-8,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 14:36:39,05-07-2026 14:37:38,60,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:37:38,05-07-2026 14:38:28,50,Unknown,-,-
30,05-07-2026 14:38:28,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9,-,1,572,00:03:26,00:10:51,00:00:20,00:00:00,duplicate,N1,180,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:41:01,05-07-2026 14:48:25,0,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:48:25,05-07-2026 14:51:19,100,Completed,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 14:51:19,05-07-2026 14:52:10,51,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:52:10,05-07-2026 14:53:05,55,Unknown,-,-
